position,stat,threshold,games,brier,frequency_brier,mean_probability,observed_rate,eligible_test_games,evaluated_games
RB,targets,4,2853,0.12962247027486,0.1621869679728525,0.19884355571392473,0.2025937609533824,2853,2853
RB,targets,5,2853,0.09305308060204254,0.11068721114175759,0.13027319846335325,0.125832457062741,2853,2853
RB,targets,6,2853,0.05918949954061683,0.06786677846478628,0.07503263452936991,0.07290571328426218,2853,2853
RB,targets,8,2853,0.019104489155106624,0.020380175748372083,0.02487851570824207,0.020679985979670523,2853,2853
RB,targets,10,2853,0.0064301041888161934,0.006627739496869748,0.008183377525318688,0.006659656501927795,2853,2853
RB,targets,12,2853,0.0013927915867407415,0.0014040402945453023,0.002937398763090202,0.0014020329477742728,2853,2853
RB,targets,15,2853,0.0003489771982710323,0.0003511960745329654,0.0019871837420073063,0.0003505082369435682,2853,2853
RB,total_yards,25,2851,0.1476782776316837,0.24363521916962136,0.5742584929691861,0.5811995790950544,2853,2851
RB,total_yards,50,2851,0.146333417550817,0.23767806892962312,0.3841346103424689,0.3879340582251841,2853,2851
RB,total_yards,75,2851,0.12957803939677137,0.18163950711720928,0.22402992014225934,0.23851280252542967,2853,2851
RB,total_yards,100,2851,0.09593042080572126,0.11837407484442994,0.12531885414105445,0.13714486145212207,2853,2851
RB,total_yards,125,2851,0.05565146998365113,0.061904064356931875,0.06164707609733019,0.06629252893721502,2853,2851
RB,total_yards,150,2851,0.030200288535827572,0.03159640009033788,0.02473166144419805,0.03262013328656612,2853,2851
RB,total_yards,175,2851,0.013142351512756209,0.013504489442394244,0.010378709574422218,0.013679410733076113,2853,2851
RB,total_yards,200,2851,0.005509964131296101,0.00559138803406808,0.0035302644872522433,0.0056120659417748155,2853,2851
RB,total_yards,225,2851,0.0027806935881781927,0.002801816949990382,0.002144727443072373,0.0028060329708874078,2853,2851
TE,receiving_tds,1,2314,0.12716430100018644,0.12915647390595708,0.148176490350517,0.15211754537597233,2314,2314
TE,receiving_tds,2,2314,0.01610139281471753,0.01615769882220029,0.024988729587632128,0.016421780466724288,2314,2314
TE,receiving_tds,3,2314,0.0008809438159127853,0.0008661994965620509,0.0034658312682875,0.000864304235090752,2314,2314
TE,receiving_tds,4,2314,4.505112250655154e-06,4.610957150682598e-07,0.001923866569803335,0.0,2314,2314
TE,receiving_tds,5,2314,2.7593514420370645e-06,5.123285722980661e-08,0.0016611295681063128,0.0,2314,2314
TE,receiving_yards,10,2313,0.18427302647045243,0.23809574593369706,0.6221709448114299,0.6095979247730221,2314,2313
TE,receiving_yards,25,2313,0.17531969096619068,0.23379431444893914,0.36361214168652406,0.3722438391699092,2314,2313
TE,receiving_yards,40,2313,0.13672267990235337,0.1684556872748372,0.21331618340938766,0.21444012105490703,2314,2313
TE,receiving_yards,50,2313,0.10847282874866554,0.12645192146499978,0.1335489282733876,0.14829226113272806,2314,2313
TE,receiving_yards,60,2313,0.08110667629769794,0.09170252800326553,0.0915531597370345,0.10203199308257674,2314,2313
TE,receiving_yards,75,2313,0.048082386031162334,0.0519017105536266,0.049580372673305444,0.05490704712494596,2314,2313
TE,receiving_yards,90,2313,0.02847631719877914,0.0298018373915001,0.02195089721105466,0.030696065715520967,2314,2313
TE,receiving_yards,100,2313,0.015505051049480967,0.016161917961263313,0.013219373955958883,0.016428880242109815,2314,2313
TE,receiving_yards,125,2313,0.005075747644782001,0.005161340439422863,0.005863866374227427,0.005188067444876783,2314,2313
TE,receiving_yards,150,2313,0.0017301777748134732,0.0017263861476862691,0.0026665689954080145,0.0017293558149589277,2314,2313
TE,receiving_yards,175,2313,6.720028825332805e-06,1.2808214307451653e-06,0.0022572115142923217,0.0,2314,2313
TE,receiving_yards,200,2313,2.759351442037064e-06,5.1232857229806613e-08,0.0016611295681063125,0.0,2314,2313
TE,receptions,1,2313,0.13294170274664818,0.15732122352303202,0.8241278172053668,0.8045827929096412,2314,2313
TE,receptions,2,2313,0.17822810703485353,0.24851233781379295,0.5385830198516833,0.5399913532209252,2314,2313
TE,receptions,3,2313,0.1650279232766018,0.23261630551242565,0.36127664953110616,0.3674881106787722,2314,2313
TE,receptions,4,2313,0.14028339567654272,0.18460670690208478,0.23054079714110484,0.2438391699092088,2314,2313
TE,receptions,5,2313,0.10332777521455144,0.12731099685022407,0.13777177386805475,0.14958927799394725,2314,2313
TE,receptions,6,2313,0.07487979475368961,0.08615482140560744,0.0829365438450589,0.09511456982274102,2314,2313
TE,receptions,8,2313,0.02987790071481781,0.0322115651960715,0.027526777006462104,0.03329009943795936,2314,2313
TE,receptions,10,2313,0.010694250055114258,0.011118300859622232,0.009029564228188786,0.01124081279723303,2314,2313
TE,receptions,12,2313,0.0034181516689676525,0.003452163769524431,0.002385045955763538,0.0034587116299178555,2314,2313
TE,receptions,15,2313,2.759351442037064e-06,5.1232857229806613e-08,0.0016611295681063125,0.0,2314,2313
TE,targets,1,2314,0.0768025073360828,0.09343564737078626,0.9124095136637597,0.8958513396715644,2314,2314
TE,targets,2,2314,0.15740268120431966,0.22661678904854846,0.651388198945032,0.6529818496110631,2314,2314
TE,targets,3,2314,0.16027482024220532,0.24977174145855824,0.4859887956308128,0.4848746758859118,2314,2314
TE,targets,4,2314,0.1524994782512403,0.2317575550504574,0.3557171858713536,0.3647363872082973,2314,2314
TE,targets,5,2314,0.13747383898725957,0.19371931680232288,0.2608332352257097,0.2627484874675886,2314,2314
TE,targets,6,2314,0.11285231539922158,0.15084019081998176,0.18727692479978866,0.18496110630942092,2314,2314
